Index,Season,League,Team,Entropy,X,Colour
97,2008/2009,Spain,Malaga,1.0261663264505874,0.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
98,2009/2010,England,Manchester United,0.8371649851098214,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
99,2009/2010,England,Arsenal,0.8802991023458635,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
100,2009/2010,England,Sunderland,0.9943842260502711,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
101,2009/2010,England,Liverpool,0.927761615565354,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
102,2009/2010,England,West Ham,0.9875167425920465,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
103,2009/2010,England,Wigan,0.9785824057175755,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
104,2009/2010,England,Aston Villa,1.0016296769066744,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
105,2009/2010,England,Manchester City,0.9675647265214296,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
106,2009/2010,England,Everton,0.9956141887329434,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
107,2009/2010,England,Blackburn,0.9981612628113912,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
108,2009/2010,England,Tottenham,0.9706627751991919,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
109,2009/2010,England,Bolton,0.9836926528251435,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
110,2009/2010,England,Stoke,0.989907762710276,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
111,2009/2010,England,Hull,0.9540437412672025,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
112,2009/2010,England,Fulham,1.0012202994751094,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
